"state","city","longitud","latitude"
"GUANAJUATO","Purisima del Rincon","-10185230847","2104121746"
"GUANAJUATO","Romita","-10151575443","2088295120"
"GUANAJUATO","Salamanca","-10119687554","2056879835"
"MEXICO                      ","Acambay de Ruiz Castañeda","-9984595729","1995396457"
"MEXICO                      ","Acolman","-9891079337","1963890217"
"MEXICO                      ","Aculco","-9982776073","2009921194"
"MEXICO                      ","Almoloya de Alquisiras","-9989456472","1886325026"
"MEXICO                      ","Almoloya de Juarez","-9976020617","1937017218"
"MEXICO                      ","Almoloya del Rio","-9948730720","1916330273"
"MEXICO                      ","Amanalco","-10002108117","1925387031"
"MEXICO                      ","Amatepec","-10018699866","1868412120"
"MEXICO                      ","Amecameca","-9876529078","1912719609"
"MEXICO                      ","Apaxco","-9917404382","1997516408"
"MEXICO                      ","Atenco","-9891536085","1955151813"
"MEXICO                      ","Atizapan","-9949308056","1917543417"
"MEXICO                      ","Atizapan de Zaragoza","-9925319325","1957095567"
"MEXICO                      ","Atlacomulco","-9987352248","1980703354"
"MEXICO                      ","Atlautla","-9877800744","1902871600"
"MEXICO                      ","Axapusco","-9875743877","1972670389"
"MEXICO                      ","Ayapango","-9879746412","1912625363"
"MEXICO                      ","Calimaya","-9961773538","1916683378"
"MEXICO                      ","Capulhuac","-9946161330","1919708295"
"MEXICO                      ","Coacalco de Berriozabal","-9909784018","1964336151"
"MEXICO                      ","Coatepec Harinas","-9976867259","1892564755"
"MEXICO                      ","Cocotitlan","-9886521543","1923268106"
"MEXICO                      ","Coyotepec","-9920583535","1977464475"
"MEXICO                      ","Cuautitlan","-9914564741","1968419658"
"MEXICO                      ","Chalco","-9889673017","1925481121"
"MEXICO                      ","Chapa de Mota","-9952661000","1981379067"
"MEXICO                      ","Chapultepec","-9956225164","1920145170"
"MEXICO                      ","Chiautla","-9888195938","1955075681"
"MEXICO                      ","Chicoloapan","-9891874997","1941654160"
"MEXICO                      ","Chiconcuac","-9889910478","1955611002"
"MEXICO                      ","Chimalhuacan","-9895298058","1943113253"
"MEXICO                      ","Donato Guerra","-10014416581","1930834948"
"MEXICO                      ","Ecatepec de Morelos","-9906718605","1954003054"
"MEXICO                      ","Ecatzingo","-9875282090","1895853550"
